Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
22:40:44:16.952,61,0.0166134387,0.1806587875,0.0000000000,0.1548300982,0.0000000000,0.0564592518,0.0000000000,0.0165881533,0.1790102273,0.2687688470,0.0000000000,0.0000000000,0.0564844199,0.0000000000,0.0449063629,0.0013163164,0.0000000000,0.0759701878,0.0654029548,0.1584936231,0.0769539252,0.0000000000,0.0106784338,0.0000000000,0.0000000000,0.1113877818,0.0239022486,0.0439593755,0.0503380112,0.2014370114,0.2063789368,0.0824515298,0.0219214000,0.2070747763,0.1378071010,0.0524494089,0.0520237386,0.1599652469,0.1746100932,0.1013009101,0.1140072048,0.0000000000,0.0000000000,0.4638029039,0.1444298029,0.1445827633,0.0244890191,0.0839990452,0.1102023274,0.1064278185,0.0979194567,0.0000002843,-0.2220990956,-0.3054526448,-0.0839081034,-0.1631920934,0.1108295918,-0.0180784613,-0.0940032750,0.1108495966,-0.0104473317
22:40:44:17.952,61,0.0162879527,0.1821961850,0.0000000000,0.1584006548,0.0000000000,0.0564277209,0.0000000000,0.0162639804,0.1805046946,0.2724217176,0.0000000000,0.0000000000,0.0564516000,0.0000000000,0.0440371074,0.0025293794,0.0000000000,0.0710971206,0.0656062514,0.1590590924,0.0814790428,0.0000000000,0.0116069168,0.0000000000,0.0000000000,0.1199625731,0.0356047638,0.0420819223,0.0481632054,0.1982694715,0.2036285847,0.0832388327,0.0211722180,0.2231296748,0.1467149854,0.0536184013,0.0536586046,0.1484564841,0.1630596519,0.1007551998,0.1133641303,0.0000000000,0.0000000000,0.4619661272,0.1437566429,0.1438846439,0.0276616346,0.0834351256,0.1097581610,0.1089706272,0.0980782658,0.0000004933,-0.2261124998,-0.3037695587,-0.0849839896,-0.1653929949,0.1117958948,-0.0184810348,-0.0961609185,0.1118160486,-0.0107803214
22:40:44:18.952,61,0.0133803803,0.1803119481,0.0000000000,0.1652216613,0.0000000000,0.0564740077,0.0000000000,0.0133687416,0.1785876900,0.2791078389,0.0000000000,0.0000000000,0.0564969219,0.0000000000,0.0432268828,0.0037369933,0.0000000000,0.0666915849,0.0658385381,0.1591734886,0.0879261047,0.0000000000,0.0124202697,0.0000000000,0.0000000000,0.1248992682,0.0433992669,0.0406060889,0.0463845097,0.1959288567,0.2013697177,0.0844873190,0.0205074269,0.2322099209,0.1521481127,0.0550357960,0.0554895662,0.1386595070,0.1526238769,0.0995594487,0.1111985445,0.0000000000,0.0000000000,0.4592543542,0.1431537420,0.1432697922,0.0312732793,0.0828638598,0.1093069240,0.1116213948,0.0983199850,0.0000009147,-0.2300260663,-0.3011819422,-0.0861052275,-0.1694738567,0.1106850877,-0.0187429842,-0.1003144905,0.1107051224,-0.0111317663
22:40:44:19.954,61,0.0118908007,0.1795842648,0.0000000000,0.1698897034,0.0000000000,0.0566064902,0.0000000000,0.0118836993,0.1778329164,0.2836816311,0.0000000000,0.0000000000,0.0566285960,0.0000000000,0.0424436219,0.0048380275,0.0000000000,0.0637981817,0.0660418272,0.1591579914,0.0915295407,0.0000000000,0.0131410267,0.0000000000,0.0000000000,0.1266513020,0.0468514711,0.0395712145,0.0452309102,0.1939246356,0.1996148527,0.0852098539,0.0199127086,0.2358803004,0.1544293761,0.0560898185,0.0567550920,0.1346555948,0.1484546512,0.0987239704,0.1096042916,0.0000000000,0.0000000000,0.4579195082,0.1427014172,0.1428095251,0.0337045081,0.0824181810,0.1089771613,0.1140886843,0.0986316502,0.0000012076,-0.2340626568,-0.2989530563,-0.0870674625,-0.1722595245,0.1102704629,-0.0189760402,-0.1031536460,0.1102904230,-0.0114024729
22:40:44:20.954,61,0.0108563853,0.1772021502,0.0000000000,0.1759695560,0.0000000000,0.0568456054,0.0000000000,0.0108512230,0.1754305959,0.2896101475,0.0000000000,0.0000000000,0.0568672642,0.0000000000,0.0416152515,0.0059011336,0.0000000000,0.0618337356,0.0662297830,0.1587654650,0.0934526026,0.0000000000,0.0136783086,0.0000000000,0.0000000000,0.1267426610,0.0482647233,0.0387964174,0.0443948209,0.1924959272,0.1977437139,0.0856800079,0.0193867851,0.2374598831,0.1554575711,0.0569569282,0.0577244535,0.1324446499,0.1461607069,0.0977254510,0.1078178883,0.0000000000,0.0000000000,0.4556603134,0.1422628015,0.1423656493,0.0351270549,0.0820135176,0.1086864695,0.1154577956,0.0989005789,0.0000017083,-0.2368831635,-0.2974801660,-0.0872798115,-0.1758872867,0.1088503376,-0.0191200785,-0.1068621203,0.1088701114,-0.0116575295
22:40:44:21.954,61,0.0101109538,0.1755123585,0.0000000000,0.1786363572,0.0000000000,0.0572246686,0.0000000000,0.0101060811,0.1737393886,0.2921732664,0.0000000000,0.0000000000,0.0572460182,0.0000000000,0.0406505540,0.0068624807,0.0000000000,0.0599903800,0.0663907975,0.1581937075,0.0953035578,0.0000000000,0.0141750192,0.0000000000,0.0000000000,0.1255103946,0.0486123897,0.0381592624,0.0437254868,0.1906873584,0.1956556737,0.0859376341,0.0189134926,0.2379694134,0.1557752192,0.0577661544,0.0585921779,0.1310192198,0.1446927637,0.0960212946,0.1053989083,0.0000000000,0.0000000000,0.4548051655,0.1420760900,0.1421745420,0.0364887714,0.0816897750,0.1084744632,0.1165640205,0.0991884246,0.0000027806,-0.2394687682,-0.2965029180,-0.0873409808,-0.1774635613,0.1078313366,-0.0191076454,-0.1084936932,0.1078509763,-0.0117231635
22:40:44:22.955,61,0.0093180761,0.1739010960,0.0000000000,0.1805412173,0.0000000000,0.0576578006,0.0000000000,0.0093137724,0.1721312851,0.2940105796,0.0000000000,0.0000000000,0.0576791242,0.0000000000,0.0398727320,0.0077212332,0.0000000000,0.0589056090,0.0666555613,0.1562080532,0.0959781781,0.0000000000,0.0145193441,0.0000000000,0.0000000000,0.1066003740,0.0340245925,0.0377041586,0.0432577468,0.1893425435,0.1936601549,0.0861152411,0.0185233746,0.2331687659,0.1542325318,0.0584139973,0.0592733994,0.1304255724,0.1441049278,0.0940511450,0.1029967666,0.0000000000,0.0000000000,0.4539639056,0.1419997811,0.1420942247,0.0373270847,0.0814352781,0.1083437130,0.1173141822,0.0993584841,0.0000047104,-0.2414036244,-0.2970073223,-0.0870034844,-0.1785981655,0.1068550423,-0.0190530941,-0.1096621603,0.1068745703,-0.0117408168
22:40:44:23.956,61,0.0086509259,0.1729881167,0.0000000000,0.1808709502,0.0000000000,0.0580586940,0.0000000000,0.0086469501,0.1712252796,0.2943239808,0.0000000000,0.0000000000,0.0580799915,0.0000000000,0.0391355604,0.0084225517,0.0000000000,0.0581352375,0.0668733642,0.1554110646,0.0964757726,0.0000000000,0.0148996003,0.0000000000,0.0000000000,0.0881648734,0.0162150376,0.0373322889,0.0428934321,0.1883284003,0.1925189495,0.0860993117,0.0181726851,0.2271033376,0.1514308751,0.0589877218,0.0598672889,0.1304571033,0.1441907734,0.0930567682,0.1018292382,0.0000000000,0.0000000000,0.4527126849,0.1420101821,0.1421010196,0.0379983373,0.0812597796,0.1083021834,0.1179941967,0.0995721519,0.0000069100,-0.2423384190,-0.2979404330,-0.0870461836,-0.1787990481,0.1062964126,-0.0189738404,-0.1098689735,0.1063158587,-0.0117009152
22:40:44:24.957,61,0.0080417618,0.1733366251,0.0000000000,0.1816958785,0.0000000000,0.0583748706,0.0000000000,0.0080380449,0.1715637445,0.2951737344,0.0000000000,0.0000000000,0.0583960675,0.0000000000,0.0384781323,0.0089663733,0.0000000000,0.0576354712,0.0669752136,0.1552085876,0.0968014449,0.0000000000,0.0153369075,0.0000000000,0.0000000000,0.0782294050,0.0096087744,0.0369867906,0.0425685383,0.1875422746,0.1917955875,0.0858999193,0.0178368427,0.2193346471,0.1480100900,0.0594606958,0.0603347346,0.1327398717,0.1478649229,0.0925928801,0.1012994573,0.0000000000,0.0000000000,0.4519141018,0.1417868286,0.1418740302,0.0384980924,0.0811401606,0.1083389521,0.1185910627,0.0997696519,0.0000088601,-0.2428755462,-0.2982158065,-0.0877858400,-0.1793112904,0.1065164581,-0.0190672819,-0.1103675440,0.1065359712,-0.0117783099
22:40:44:25.957,61,0.0074289050,0.1726687849,0.0000000000,0.1841678470,0.0000000000,0.0586202256,0.0000000000,0.0074254740,0.1708850116,0.2976154387,0.0000000000,0.0000000000,0.0586412959,0.0000000000,0.0378520861,0.0094178375,0.0000000000,0.0573175959,0.0671039224,0.1549511105,0.0967801437,0.0000000000,0.0158458315,0.0000000000,0.0030006394,0.0653862059,0.0000000000,0.0367060304,0.0423178747,0.1868005991,0.1911483109,0.0856283680,0.0175446700,0.2117663920,0.1431707293,0.0597843751,0.0606559888,0.1357914656,0.1521645635,0.0922168344,0.1009501815,0.0000000000,0.0000000000,0.4492355883,0.1414118558,0.1414954811,0.0388268568,0.0809825435,0.1083343178,0.1189977527,0.0998829976,0.0000101390,-0.2430897653,-0.2994191349,-0.0883333161,-0.1808023453,0.1061239243,-0.0191527102,-0.1118738875,0.1061434001,-0.0118940622
22:40:44:26.957,61,0.0068982453,0.1715644151,0.0000000000,0.1871540993,0.0000000000,0.0588707291,0.0000000000,0.0068950313,0.1697708964,0.3005569279,0.0000000000,0.0000000000,0.0588918701,0.0000000000,0.0372456983,0.0097676516,0.0000000000,0.0571589954,0.0672626942,0.1549164206,0.0966547504,0.0000000000,0.0163382273,0.0000000000,0.0227769203,0.0458029062,0.0000000000,0.0365143977,0.0421641283,0.1861073226,0.1905931383,0.0853151754,0.0172994100,0.2067996860,0.1395855844,0.0600811467,0.0609495752,0.1400300413,0.1571538001,0.0920419097,0.1008203700,0.0000000000,0.0000000000,0.4365786314,0.1406307667,0.1407028437,0.0390768088,0.0809003040,0.1084311679,0.1194025353,0.1000135392,0.0000088166,-0.2436174005,-0.2998694181,-0.0891802609,-0.1826022565,0.1054669619,-0.0192206148,-0.1136959419,0.1054863110,-0.0120115522
22:40:44:27.958,61,0.0063693328,0.1712048650,0.0000000000,0.1895022839,0.0000000000,0.0589737669,0.0000000000,0.0063663577,0.1693945378,0.3027789891,0.0000000000,0.0000000000,0.0589949526,0.0000000000,0.0367301181,0.0100350920,0.0000000000,0.0569987707,0.0672843903,0.1549416780,0.0966597795,0.0000000000,0.0167891048,0.0000000000,0.0292545706,0.0391024053,0.0000000000,0.0363431349,0.0420442447,0.1852725893,0.1901039034,0.0851090401,0.0170401167,0.2048822939,0.1382265687,0.0604089648,0.0612865649,0.1418427527,0.1592474431,0.0923314989,0.1011644900,0.0000000000,0.0000000000,0.4145531952,0.1320398003,0.1320785582,0.0392566472,0.0807539374,0.1084616855,0.1198952571,0.1002260298,0.0000069611,-0.2445805520,-0.3003553152,-0.0897151008,-0.1839564741,0.1052596420,-0.0193231888,-0.1151250526,0.1052825898,-0.0121381953
22:40:44:28.959,61,0.0063865371,0.1709548682,0.0000000000,0.1917018145,0.0000000000,0.0590994023,0.0000000000,0.0063829836,0.1691315174,0.3049585521,0.0000000000,0.0000000000,0.0591205657,0.0000000000,0.0362243094,0.0101951221,0.0000000000,0.0568104312,0.0672068447,0.1552249938,0.0969372541,0.0000000000,0.0172838271,0.0000000000,0.0324044973,0.0357070416,0.0000000000,0.0361379609,0.0418896489,0.1833261549,0.1895045638,0.0848316401,0.0167941879,0.2039708495,0.1375589222,0.0607827418,0.0616667904,0.1429856867,0.1605194360,0.0928001180,0.1016960144,0.0000000000,0.0000000000,0.4074457884,0.1217197999,0.1217475459,0.0394829884,0.0807110891,0.1086143330,0.1205117479,0.1005389616,0.0000044106,-0.2458939254,-0.2994448245,-0.0905356780,-0.1852836460,0.1051223278,-0.0194354020,-0.1164631099,0.1051452756,-0.0122624924
22:40:44:29.959,61,0.0147724561,0.1704773158,0.0000000000,0.1944902986,0.0000000000,0.0592636839,0.0000000000,0.0147599084,0.1686394513,0.3077099621,0.0000000000,0.0000000000,0.0592851229,0.0000000000,0.0357298441,0.0103074033,0.0000000000,0.0566233359,0.0671972260,0.1554026157,0.0972817093,0.0000000000,0.0176918991,0.0000000000,0.0368939899,0.0290871393,0.0000000000,0.0360186026,0.0418261811,0.1799112856,0.1878180951,0.0845706984,0.0166023001,0.2035091221,0.1371351331,0.0612594932,0.0621638000,0.1437649578,0.1613386571,0.0932011381,0.1021311581,0.0000000000,0.0000000000,0.3848319054,0.1076905951,0.1077064052,0.0397185795,0.0806712583,0.1087675393,0.1212042049,0.1009215489,0.0000020767,-0.2471507043,-0.2990920246,-0.0918314829,-0.1869610101,0.1048496813,-0.0195580404,-0.1181607023,0.1048725918,-0.0124078915
22:40:44:30.960,61,0.0781419799,0.1717904955,0.0000000000,0.1954945475,0.0000000000,0.0598349050,0.0000000000,0.0781099573,0.1699318439,0.3086939454,0.0000000000,0.0000000000,0.0598577373,0.0000000000,0.0351802036,0.0104282033,0.0000000000,0.0563562214,0.0672581494,0.1550412476,0.0974151939,0.0000000000,0.0180069879,0.0000000000,0.0464540534,0.0197936129,0.0000000000,0.0359482840,0.0418067612,0.1734073907,0.1808265001,0.0842729434,0.0164512694,0.2033543289,0.1368370652,0.0617719404,0.0627057850,0.1439460963,0.1615188420,0.0932666361,0.1022318304,0.0000000000,0.0000000000,0.3660267889,0.0831662416,0.0831759796,0.0398906581,0.0808166638,0.1091058850,0.1224161908,0.1013939977,0.0000015050,-0.2488980591,-0.2981539965,-0.0929035321,-0.1875432134,0.1056650132,-0.0197718646,-0.1187607497,0.1056880429,-0.0125682782
22:40:44:31.961,61,0.1397833526,0.1752977222,0.0000000000,0.1970230937,0.0000000000,0.0697238371,0.0000000000,0.1396507025,0.1733940393,0.3100546300,0.0000000000,0.0000000000,0.0697684288,0.0000000000,0.0346564613,0.0107090641,0.0000000000,0.0560874864,0.0674817413,0.1542747766,0.0971648246,0.0000000000,0.0181701463,0.0000000000,0.0496062227,0.0167202149,0.0000000000,0.0359427258,0.0418323688,0.1705761105,0.1762992144,0.0838462487,0.0163751375,0.2030215114,0.1362711191,0.0623188466,0.0632847473,0.1435238868,0.1607232839,0.0910258591,0.0999639183,0.0000000000,0.0000000000,0.3422394991,0.0619174391,0.0619261488,0.0400393903,0.0813622102,0.1110069826,0.1230500191,0.1016678959,0.0000033805,-0.2512547970,-0.2984969318,-0.0931259394,-0.1883273721,0.1078342646,-0.0202641562,-0.1196618602,0.1078575402,-0.0129250977
22:40:44:32.962,61,0.2672619522,0.2072527260,0.0000000000,0.1895297468,0.0000000000,0.0957518369,0.0000000000,0.2671677768,0.2050861716,0.3021740913,0.0000000000,0.0000000000,0.0958072096,0.0000000000,0.0342001580,0.0110037876,0.0000000000,0.0559920035,0.0678979531,0.1528517008,0.0967810005,0.0000000000,0.0182805005,0.0000000000,0.0515410081,0.0152245024,0.0000000000,0.0359038003,0.0418053977,0.1689213812,0.1730422974,0.0833859146,0.0164055862,0.2009184659,0.1323631257,0.0631107986,0.0643076897,0.1421736330,0.1583191454,0.0819415823,0.0901871845,0.0000000000,0.0000000000,0.3271430135,0.0359897465,0.0359944552,0.0401172601,0.0872269273,0.1204583943,0.1233352721,0.1017784774,0.0000078886,-0.2545403540,-0.2986824214,-0.0926280171,-0.1831245571,0.1274218857,-0.0233260486,-0.1148464158,0.1274476200,-0.0146832811
22:40:44:33.962,61,0.3765433431,0.2556957304,0.0000000000,0.1762893349,0.0000000000,0.1511470824,0.0000000000,0.3764927983,0.2532108128,0.2879072428,0.0000000000,0.0000000000,0.1512254775,0.0000000000,0.0338231549,0.0112994798,0.0000000000,0.0560635142,0.0684549361,0.1516390443,0.0966113210,0.0000000000,0.0184652340,0.0000000000,0.0523846485,0.0199345909,0.0000000000,0.0358672291,0.0417515896,0.1680553108,0.1711447239,0.0829594135,0.0165349673,0.1990796477,0.1300969720,0.0673568770,0.0693067238,0.1395829618,0.1545355022,0.0731976181,0.0809803680,0.0000000000,0.0000000000,0.3034693003,0.0026037879,0.0026048627,0.0402843766,0.1084942669,0.1506532133,0.1236262098,0.1019863337,0.0000164658,-0.2568915188,-0.2978513539,-0.0928572044,-0.1737512797,0.1570617110,-0.0273712315,-0.1063730642,0.1570908874,-0.0168157201
